champion,patch,id_postaci
Hecarim,15.07,980
Aphelios,15.07,981
Smolder,15.07,982
Karthus,15.07,983
Vel'Koz,15.07,984
Zac,15.07,985
Zed,15.07,986
Senna,15.07,987
Annie,15.07,988
Akshan,15.07,989
Diana,15.07,990
Vayne,15.07,991
Zilean,15.07,992
Kha'Zix,15.07,993
Heimerdinger,15.07,994
Illaoi,15.07,995
Cassiopeia,15.07,996
Zoe,15.07,997
Seraphine,15.07,998
Kog'Maw,15.07,999
Garen,15.07,1000
Qiyana,15.07,1001
Quinn,15.07,1002
Nunu & Willump,15.07,1003
Kayle,15.07,1004
Tahm Kench,15.07,1005
Sona,15.07,1006
Xerath,15.07,1007
Aatrox,15.08,1008
Gwen,15.08,1009
Tristana,15.08,1010
Xayah,15.08,1011
Rell,15.08,1012
Gragas,15.08,1013
Kindred,15.08,1014
Yone,15.08,1015
Kai'Sa,15.08,1016
Karma,15.08,1017
,15.08,1018
K'Sante,15.08,1019
Xin Zhao,15.08,1020
Galio,15.08,1021
Corki,15.08,1022
Thresh,15.08,1023
Ambessa,15.08,1024
Vi,15.08,1025
Syndra,15.08,1026
Miss Fortune,15.08,1027
Rakan,15.08,1028
Jax,15.08,1029
Sejuani,15.08,1030
Swain,15.08,1031
Varus,15.08,1032
Skarner,15.08,1033
Azir,15.08,1034
Rumble,15.08,1035
Wukong,15.08,1036
Orianna,15.08,1037
Jhin,15.08,1038
Maokai,15.08,1039
Mordekaiser,15.08,1040
Ivern,15.08,1041
Jarvan Iv,15.08,1042
Ashe,15.08,1043
Leona,15.08,1044
Seraphine,15.08,1045
Jinx,15.08,1046
Braum,15.08,1047
Jayce,15.08,1048
Lillia,15.08,1049
Viktor,15.08,1050
Smolder,15.08,1051
Alistar,15.08,1052
Nocturne,15.08,1053
Ahri,15.08,1054
Poppy,15.08,1055
Sivir,15.08,1056
Lulu,15.08,1057
Hwei,15.08,1058
Bard,15.08,1059
Naafiri,15.08,1060
Ezreal,15.08,1061
Sion,15.08,1062
Udyr,15.08,1063
Nunu & Willump,15.08,1064
Taliyah,15.08,1065
Gnar,15.08,1066
Twisted Fate,15.07,1067
Renekton,15.08,1068
Malphite,15.08,1069
Kled,15.07,1070
Vladimir,15.08,1071
Cho'Gath,15.08,1072
Nautilus,15.08,1073
Pantheon,15.08,1074
Urgot,15.08,1075
Ryze,15.08,1076
Zeri,15.08,1077
Yorick,15.08,1078
Pyke,15.08,1079
Shen,15.08,1080
Neeko,15.08,1081
Sylas,15.08,1082
Xerath,15.08,1083
Aphelios,15.08,1084
Volibear,15.08,1085
Renata Glasc,15.08,1086
Elise,15.08,1087
Nidalee,15.08,1088
Aurora,15.08,1089
Ziggs,15.08,1090
Lee Sin,15.08,1091
Kalista,15.08,1092
Zyra,15.08,1093
Zed,15.08,1094
Akali,15.08,1095
Fiora,15.08,1096
Kog'Maw,15.08,1097
Cassiopeia,15.08,1098
Rammus,15.08,1099
Viego,15.08,1100
Annie,15.08,1101
Sona,15.08,1102
Dr. Mundo,15.08,1103
Camille,15.08,1104
Master Yi,15.08,1105
Anivia,15.08,1106
Yasuo,15.08,1107
Ornn,15.08,1108
Lucian,15.08,1109
Irelia,15.08,1110
Zoe,15.08,1111
Fiddlesticks,15.08,1112
Draven,15.08,1113
Brand,15.08,1114
Riven,15.08,1115
Lissandra,15.08,1116
